"","book_title","review_title","review_user","book_id","review_id","timestamp","review_text","review_score"
"12","Metropolis (A Bernie Gunther Novel)","The last returns to the quality of the first few","Daniel S. Palter","0735218897","R2JR4B4PGJ1QHJ","1555242682","I'm a longtime fan of the series, but as my prior reviews showed, the last few books have been formulaic. Kerr simply didn't handle the 50's as well as he had the early days of the Nazis. So this return to a much younger Bernie, Weimar and the Nazis as a cloud on the horizon rather than the center piece of the story, was wonderful. Its sad that Mr Kerr is dead and thus Bernie with him, but at least he took his final bows on a wonderful who done it.",4
"13","The Woman in the Window: A Novel","Don't open this book if you have work to do. It is impossible to put down. What a ride! Loved it!","Jen Falvey","62678426","R2EUOGBDJFMWB","1555242794","Best book I've read in YEARS! It's been so long since I was drawn in to a book from the very first pages. I predict this will be this year's biggest seller.",4
"15","Supermarket","Bobby Bestseller!","Celenia","1982127139","RVDRC6LLZB0ZG","1555242872","So damn proud of this dude. Can’t wait!! Make sure you guys also check out the Supermarket Soundtrack!",4
"16","Pet Sematary: A Novel","Listen to this in a snowstorm","Christopher Valyou","198211598X","R16O962NP7DR3L","1555242915","First Stephen King book, so amazing. Even if you’ve seen the movies",4
"17","QAnon: An Invitation to The Great Awakening","A book with a message for today","Nely","1942790139","R2MVC1E3KSJMUR","1555242922","Growing up in America, the message from church was there would be a war someday between good and evil.  You always think that it won't happen in your lifetime.  This book is providing information about our world and what has been happening while we were sitting back listening to the main stream media.  We have been lied to.  We have been made to believe that the right calls the left demons and they and the media laugh it off.  That is part of the plan.  The war is here.  The war between God and Satan.  Read the book.  Do your own research.  Get behind our President.  It is not about who is the President, it is about saving our country from the traitors.",4
"19","Pet Sematary: A Novel","Glad I read this","Eric Warren","198211598X","R3RAUF23OF7SQ1","1555243144","Glad I read this book but it is fairly different from the movie. I like the books ending better though.",4
"21","A Gentleman in Moscow: A Novel","Gentleman From Moscow","Jill Brooks","0143110438","R63DH5GMM507T","1555243217","Slow till the middle and then it is wonderful. Filled with wisdom and whit. Read with patience and enjoy, A tribute to adjusting to and making the best of your circumstances.",4
"24","A Gentleman in Moscow: A Novel","It is a terrific story and the ending is a surprise"" I'm almost ...","N. Sprague","0143110438","R1FFF4BDBFI39A","1555243457","He has done it again!  The characters are fascinating and the story engaging...can't  put it down.  The surprises for me was reading this at the car wash and a gal sitting opposite me...said ""are you loving the book, I won't tell you the ending and you'll be surprising""  She leaves and a gentleman sat in her seat and asked ""where are you in the book?  It is a terrific story and the ending is a surprise""  I'm almost through...what will I read next that will be as good?",4
"26","A Gentleman in Moscow: A Novel","An OK read if there's nothing else around","doug","0143110438","R10WATT6V8HRJY","1555243697","""Gentleman"" was an interesting read but not compelling. There was a good deal of plot jumping around. It needed a good edit.",2
"28","Pet Sematary: A Novel","Just as scary now!","Kalona1982","198211598X","R144ERJMUUT2X4","1555243873","If anything it was more scary.  I read it during the Halloween season, and it was the perfect read.  I love King - I don't love all his books, but this was one of his finest.  Highly recommended.  If you saw the movie, like I did, you might find yourself transposing the movie characters into the book as you read it.  I did that, couldn't help it, and it seemed to work ok.",4
"29","A Gentleman in Moscow: A Novel","The book was in great shape when it arrived","Dorothea B. Jirsa","0143110438","R189HIVBID8ZN5","1555243877","The book was in great shape when it arrived.  It was a very interesting story.  From the first page, I wanted to know more and more about the""gentleman"".  Good background on Russian history of the first half of the 20th century.  The main character was such a unique person.  Despite what fate dealt him, he remained kind, gentle, and always a gentleman.  He kept up with the world events,  never lowered his own standards, and treated everyone with respect.  When I finished reading the book, I wanted to read it all again.",4
"30","Less (Winner of the Pulitzer Prize): A Novel","Gay Main character","R. Zocher","0316316121","R3DKQ4JRKAC7VW","1555243919","Did not know the main character was Gay. Wish I could get my money back.",4
"31","The Woman in the Window: A Novel","Super Good!","Avid Reader","62678426","R16VMGP06TYTWF","1555243930","Loaded with suspense and endless plot-twists, but also beautifully written.  Deserves to be right where it is..... on the Bestseller List.  You won’t be disappointed.",4
"32","Free to Focus: A Total Productivity System to Achieve More by Doing Less","Gives you the tools to help the productivity stick!","Ashley W","0801075262","R1DTLSSGUP2QHR","1555243988","I’ve read my share of productivity books over the years and maybe picked up a quick trick here and there but that’s just what they were-quick tricks. This book got me to go deeper. Free to focus was easy to understand but went one step further than other books, since it comes with links to resources-exercises you do after each section that have you apply what you’re learning to your own life.

I think this is what sets this book apart. It’s easy to read about cutting things from your list, it’s another to actually list out your tasks and do it. I also learned about things I thought I knew how to do, like delegation ... now I realize that I don’t do this as effectively or as intentionally as I could.

This book also acknowledges the importance of self-care in recharging so there's energy for productivity. Rather than the more, more, more burnout philosophy of other productivity systems.

This is the last productivity book that I’ll ever need to read, and you too...",4
"33","Cat and Nat's Mom Truths: Embarrassing Stories and Brutally Honest Advice on the Extremely Real Struggle of Motherhood","Get it","Not happy in Indiana","525574913","R1GXUTFYJ96X6C","1555244065","Love them love this book",4
"36","QAnon: An Invitation to The Great Awakening","WWG1WGA","Brenda Parry","1942790139","R3CJCOR8K19X0R","1555244554","It's well written by very good Anons, I follow most of them. About time the truth gets told about the Q truth movement.",4
"38","A Gentleman in Moscow: A Novel","Absolutely Heaven","NtnKtn","0143110438","R2USKIM7154HIW","1555244717","What a beautifully written book. I was enthralled from the first page to the last. I will recommend this to every lover of books I know. It is a must read. A jewell.",4
"39","The Woman in the Window: A Novel","Gripping read","susie73","62678426","R3MVDYMR2OUATY","1555244749","Really enjoyed the book. Lots of twists to keep you interested. Sad but positive at the same.e time. Would recommend",4
"40","The Cornwalls Are Gone","Good book","C Wm (Andy) Anderson","0316485551","R2YGW4UF0QO756","1555244755","Brenoan Du Bois writes some good books",3
"42","A Gentleman in Moscow: A Novel","Enjoyable read","D.P. McHenry","0143110438","R2YSRSGGDR6B4M","1555244962","Very interesting & well written",4
"44","A Gentleman in Moscow: A Novel","Awesome, great character development, prepare to be immersed, a book to savor!","FR","0143110438","R3QVR8GSN1GRVS","1555245317","Oh my, a book, that I both want to think about for a long time, and re-read again, but not quite yet,.......the re-read that is, my head is still too full of it.  A very satisfying read, I want to buy a hard copy and just start loaning it to family, friends, strangers.....they still write awesome books....it will be a classic, it is already a classic.",4
"46","After (The After Series)","I loved this book from start to finish","melissa06","1982111003","R3EI73BIJP4G90","1555245423","I loved this book from start to finish. Could not put it down! The ending is definitely a twist and I'm onto the second book already. The book read as a steady read and was nicely detailed.",4
"48","Run Away","Unteal","J. Rhodes","1538748460","RPJRNV5O3JO14","1555245457","Read all his books but could not relate to any of the characters in this book.  Too bizarre from beginning to end.",2
"50","A Gentleman in Moscow: A Novel","Fantasy","DBW","0143110438","R2H5YREJDRF2Q5","1555245797","The Count may have been a gentleman but this certainly was NOT Moscow during that time period!!! I was disappointed in this fantasy from the start  however I continued to read hoping to find some redeeming value on the last page. Wrong!  My worry is that people will view this work as factual when they should ask one of the few Romanov's who actually survived or the  60 million people that were killed thereafter, what life was like during those times! SoSo, Stalin, was a madman plain and simple! Bolsheviks were animals, plain and simple. The writing was good and the author certainly made clear of his expertise on all subjects through his character, the Count, but one thing very important this was lacking....he new nothing of life in Moscow then!!",1
"51","A Gentleman in Moscow: A Novel","A very interesting glimpse into Moscow's past","Barbara M. Pinckney","0143110438","R5PQE22YV8L5Y","1555245917","I loved the historical aspects.  I also liked the character of Count Rostov.  He was cultured, educated, intelligent, generous,interested and interesting,romantic.  I enjoyed his interactions with all of the people he came in contact with.  I loved his relationship with the child of his old friend and fellow adventurer, Nina.  It seemed that his imposed sentence actually gave him the freedom to discover himself.  I thoroughly enjoyed this story.",4
"52","Burnout: The Secret to Unlocking the Stress Cycle","The Feminist Self-Help Book We All Deserve","A. L. Palmer","198481706X","R3A1B4JV0AZ6WL","1555245982","This book is special and important. It's the kind of book you want to give to everyone you know because you know it will make their lives a better place. From understanding the importance of completing the stress cycle, to facing down ""Human Giver Syndrome"" to making friends with the madwoman we all have in our attic, the Nagoski sisters break down some serious research and make it easy to understand and apply. Please do yourself a favor and read this book immediately.",4
