"","book_title","review_title","review_user","book_id","review_id","timestamp","review_text","review_score"
"17","A Gentleman in Moscow: A Novel","A lovely read!","SushII","0143110438","R2FN3MG9VHKFE","1554883877","This is the kind of book that you don't want to end--my favorite read so far this year. It takes place in Moscow. Our hero, the cultivated and debonaire Count Rostov, is placed under house arrest as a young man in 1922 by the Bolsheviks.  Though confined to the premises, the premesis are the luxurious Hotel Metropol.  Early in his confinement, he meets Nina, aged 9. Readers will be reminded of Eloise at the Plaza.  Count Rostov lives a full life at the Metropol, complete with a film star mistress, good friends among the staff, tutoring of a Party bigwig in the ways of the West, and sequelae of his friendship with Nina.  This is a funny, touching, and wonderfully writted tale--the perfect distraction from our political times.",5
"18","The Woman in the Window: A Novel","Amazing Book","Candide","62678426","R3VF8BTXDFAD56","1554883891","I read this in a few days. So compelling. I'm glad I bought it with hardcover. It's sure to be a classic.",5
"20","Cemetery Road: A Novel","Loved it","happy booker","0062824619","RVR120AEZ4761","1554883926","I wanted to read quickly, yet savor every moment. The protagonist is definitely flawed in more ways than normal, but the plot is so richle believable",5
"24","Cemetery Road: A Novel","cemetery road","C. Hanson","0062824619","R1OI2ZTYHKDVDZ","1554884166","Great engaging story! Will jerk your chain. Never took Iles for  lib. but enjoyed the book. Iles is always a cut above the rest.Thanks for great entertainment!",5
"25","Pet Sematary: A Novel","King's The Shining a good piece of writing.","william boon","198211598X","R1X8F9SN0QWHHJ","1554884283","I had only read a few of King's books prior to this one. This is a really excellent book based upon a most intriguing concept which is quite plausible.The story line is clear and coherent. As usual King has thought this through carefully and recorded it well. The story moves quickly and is quite captivating.It is a good read; very suspenseful!",5
"26","Cemetery Road: A Novel","Stayrd up all night","jo reader","0062824619","RLWEN106J47OX","1554884406","I loved this book. I won't ruin it for anyone. Just read it. My only regret is That Greg Iles' does not write fast enough for me to always have one of his novels waiting to be read!",5
"27","Cemetery Road: A Novel","Great writer from Natchez","Emma Tarver","0062824619","R1CZJNP54K067V","1554884526","Greg Ike’s is my favorite writer of all time.",5
"33","The Woman in the Window: A Novel","Don't Hesitate","Pam Clouse","62678426","R1XOF4Z0F3F9FJ","1554884565","This book is so well written, and her character development is amazing. I found myself so caught up in the story, and her words painted such a canvas, that I had to remember to take a breath. Every turn, and there are many in the book, took me on an emotional journey.The main character is complex, with moments of extreme clarity and then becoming foggy and dreamlike. The descriptions though takes you right along, leading you, guiding you to just where she wants you to be. I highly recommend this book to anyone who enjoys suspense, and for anyone that just wants to kick back and be taken into a world that will entertain you, and make you wonder how you'd react under certain circumstances.",5
"35","Cemetery Road: A Novel","Classic Iles","Chuck","0062824619","R25MK26FXZ18WU","1554884766","Another page turner from Mr. Iles.  I've read all of his books and found this one to be as good as any of the rest.  I was pleasantly surprised by the references to D T but would have enjoyed the book just as much if Mr. Iles had made up a fictional president although I must say I'm proud of him for speaking out in his own way...",5
"37","A Gentleman in Moscow: A Novel","Superb","David Island","0143110438","R1UCRD4L4XGDZI","1554884837","“A Gentleman in Moscow” by American author Amor Towles is probably the best novel you will ever read about Soviet Union Russia. The #1 star is Count Alexander Rostov, a “Former Person” of the Tsarist Aristocracy, who, in 1922 rather than being shot, is sentenced to live out his entire life within the 4 walls of the Metropol Hotel in central Moscow. His mantra is “If you do not master circumstances, circumstances will master you.”  He is right, and he does exactly that. So, for 32 years we live with him at the Metropol.There are 2 other stars.  Star #2 is Nina, a 9 year old girl whom the Count befriends early in his stay at the hotel. They become best buddies and explore (under the direction of very bright and headstrong Nina) the nooks and crannies of the hotel, from  hidden rooms in the basement to roof-top, and into various guest rooms, aided by a master key she has liberated from…….somewhere.  And years later, Star #3 is another girl, Sofia, the 5 year-old daughter of the then-grown-up Nina, who is left for a “few weeks” in Alexander’s care. She stays permanently, Nina never returns, and thus a major portion of the book is devoted to Sofia’s rearing by the bachelor Alexander within the limitations of an elegant hotel out of which he cannot venture.  Much later, as a young adult, Sofia has become a talented and successful classical pianist.  The entire story is charming, deeply emotional, and full of humor and insight into the state of personal and international affairs.  Alexander learns how to be a parent and masters his circumstances with aplomb.The book abounds with episodes involving the new Communist ruling elite, how the political situation is reflected in changes in the hotel’s staff, and who comes and goes through its doors.  The Count lives half his life in this hotel.  His expenses are covered by a secret cache of gold he has horded away, a remainder of his aristocratic past.  He lives like a monk in an attic room and eventually serves as the Maitre D’ of the hotel’s elegant main restaurant, which seems to have suffered very little under Communism.  In this position, he is able to observe closely and gently the intimate history of the first 30-odd years of Soviet Russia.The well-set up denouement is a masterpiece.I neither understood nor liked the final dozen or so pages of the book.  What was that all about? I found those final pages puzzling and strange. The writing for the most part (except the final few pages) was sublime and filled with pithy insights and clever phrasing, such as, when Nina left for the hinterlands, “in the general direction of historical necessity” (at about 40%).  Or, in referring to the count’s situation as a membership in the “Confederacy of the Humbled” (at about 42%).  The only bone I have to pick with the writing is that too much of the dialogue is 21st Century American English, with a fair sprinkling of American slang. I don’t know why that bothered me, since the author is American, but it did.All-in-all, “A Gentleman in Moscow” is a scintillating read, and I rate it at 4.49, rounded down to a 4. Highly recommended. It may be one of the best historical novels you will have the pleasure of reading.",4
"40","A Gentleman in Moscow: A Novel","The way the story unfolds in great, I’m really going to miss the Metropol","Juan David Martinez","0143110438","R1K62N5P2A6KSQ","1554885197","As a Washington post article mentioned this novel is true escape we crave ironically being an imprisionment story. Count Alexander Rostov is a magnificent character one which gives the reader a scent of nostalgia without the sadness, it presents you a character with a way of life lost in the tracks of time in which rushing for things was pointless and not worthy of a life well lived. The way the story unfolds in great, I’m really going to miss the Metropol, the triumvirate and surely the Count.",5
"41","Cemetery Road: A Novel","Really looking forward to another great read, but was sorely disappointed","same as ordered by","0062824619","R142YMMDAYCD7S","1554885306","I had been really looking forward to reading another great book by Mr. Iles, but this was definitely not it.  I am sorry to not be giving the book 5 stars, but I was really disappointed.  The story line seemed to be a thinly veiled rehash of the one running through his trilogy -  small town - main character returned after years away - going up against a group of old time bad men in positions of power who had been running things for years - more than one ""love"" interest - family secrets from way back - greed - moral dilemma - too many idiotic and obvious plot twists and betrayals.  I found one of the main characters (Jet) to be thoroughly dislikeable, Nadine to be so obviously the one the main character would probably end up with - I could go on and on.  The only thing that kept me reading until the end was that I find Mr. Iles' writing style is easy to read.  Long before I finished, I stopped really caring about the characters or what might happen to them.",2
"42","Cemetery Road: A Novel","Great read","Gina Slavey","0062824619","R105PCKFJRYC72","1554885486","Twists and turns throughout. It is a book that is hard to put down. I read it in two days.",5
"43","A Gentleman in Moscow: A Novel","Had no clue when I bought it.","Scanner","0143110438","R2T36UNVKBB4WA","1554885497","I enjoyed Rules of Civility.  I liked is so much I took a chance on this book.  I learned something from this book about the Russian people that I never knew before: that their history and culture was savaged by communism aka socilaism.  The characters were memorable.  I wish we had a bit more on Sophia and how it worked out for her but perhaps there is another book coming?  It there is then I will be happy to read it.  This is a great book.",5
"44","Milkman: A Novel","Man-Booker Judges Got This One Right","Sheela","1644450003","R1M6JNKWRGXD75","1554885612","One of the best and most unusual pieces of writing I have read in years. The heroine is an 18 year old Catholic living in Northern Ireland in the ""time of the trouble."" She wants no part of it, but that is not a choice during the troubles. Death and terror stalk the streets, yet she just wants to be an 18-year-old enjoying herself in normal 18-year-old pursuits. The contrast of normality and absurdity is the the books setting. Throughout the novel, the lilt of Irish storytelling pervades the writing. There are places where the phraseology makes you laugh and then reread the last lines to enjoy again the lingering taste of her language. It is a longish book but never tiring, always compelling.",5
"47","Directorate S: The C.I.A. and America's Secret...","If You’re Not Winning, You’re Losing. And yet you don’t know how to quit","Keith A. Comess","0143132504","R193JBQOMOOF58","1554885970","Directorate S derives its name from a branch of Pakistani intelligence. Although the role of Pakistan is prominent in author Steve Coll’s examination of America’s struggle in Afghanistan, this is a larger and more complex analysis of what has become a war without end.

If you’re not winning, you’re losing. One could be reading about the failed strategy in Vietnam as we learn about General Petraeus’ military solution to defeating Al Qaeda and its Taliban protectors in Afghanistan. The strategy was “Clear, Hold, Build, and Transfer.” As with Vietnam, in most of the countryside the US has never gotten beyond a temporary “Clear”, followed by US withdrawal from territory gained after suffering casualties, followed by reoccupation by our adversaries.

Afghanistan has a long history of defeating foreign occupiers, ranging from the British in the 19th Century, to the Russian incursion, to the US effort in a violent region suspicious of foreign intervention. Coll recounts how Americans had no local knowledge and used drones and incursions to take out Al Qaeda and Taliban leaders, resulting in civilian casualties and alienating the populace.

In Vietnam, “victory” was measured by body count. Here the military defined progress by dividing the country into 400 sectors and then color-coding each in green, yellow or red. After several years, there has been little change in the colors and policy makers have realized that, at best, the US has achieved stalemate. Today’s Wall Street Journal (July 30, 2018) reports that government-controlled sectors are only about 120 out of 400.

After 17 years of US involvement including more than $1 trillion in treasure and some 2,400 American lives, the Taliban and other warlords control most of the countryside, territory into which American troops dare not venture without taking unacceptable casualties.

American involvement in Afghanistan differs from that of Vietnam in two key respects.

First, the burden of combat falls upon our professional soldiers, the 1% of our population who now serve. Many of these young men and women have served two, three, even six or more combat tours. Is it likely that we would still be militarily involved after 17 years if young draftees were still being fed into an endless war, with a high percentage of families seeing their sons, daughters, siblings killed or wounded?

Secondly, the complexity of this conflict makes Vietnam seem simple and straightforward. Afghanistan shares a mountainous, ungoverned border which the Pakistani government doesn’t fully control and which is impossible to seal. The Afghan government under Hamid Karzai and his successors has been corrupt, weak, and lacking legitimacy (in this respect much as the regimes in South Vietnam).

If that weren’t challenging enough, Pakistan has many reasons to support the Taliban, including internal pressures from its own Islamic militants, a Pashtun minority that occupies both sides of the Afghan/Pakistan border, paranoia about India’s influence in the country, and a deep distrust of the US.

Coll’s book chronicles US unwillingness to abandon the war and our reluctance to challenge Pakistan even as it supports Taliban militants who harbor terrorists and kill our troops. The US is dependent upon bringing military supplies through Pakistan, and recognizes, as Vice President Joe Biden observes about a nation with nuclear weapons, “Pakistan is 50 times more important than Afghanistan for the United States.”

Coll’s knowledge of Afghanistan is impressive and he provides clarity to a complex story. Sadly, the reader comes away deeply depressed as the US doesn’t know how to win and doesn’t know how to quit.",5
"48","Cemetery Road: A Novel","Skip this one","GGL","0062824619","R2ZFOCD2NFW959","1554886146","This one from Greg Iles is best forgotten. It wasn't the political references ( although they added nothing to the story), nor the many referrals to the Flex ( I've read many books where there were references to the main character's car). It comes down to the cast of characters. There are despicable, weak, and unloveable. Best to skip this one and keep fingers crossed that the next book will be more like his previous ones.",2
"50","The Path Made Clear: Discovering Your Life's…","Beautiful, highly inspired book!","Brie Simmons","1250307503","R3K0EQDKKLZAQC","1554886515","Oprah, thank you for this beautiful book!
It is bulging with pearls of wisdom and invitations to elevate one’s consciousness. Here Oprah has used her hard-earned platform to help so many in immeasurable ways. She took gems from many of her interviews and made them easily accessible to us all. Then the seeds that she plants in these pages are supercharged with her powerful positive intentions.
This book is packed with fantastic comments from many highly inspired souls. I found them to be immensely valuable. But I mostly enjoyed Oprah’s descriptions of her personal experiences at the beginning of each chapter. By sharing the examples and events that brought her to her thinking and to her level of knowingness, she takes us with her and provides an opportunity for the reader to really hear and to better understand the concepts that she is sharing.
The book is also physically gorgeous. It is filled with breathtaking natural beauty which enhances the impact of it all. I will read it again and again.
Christine M. Theard, M.D.",5
"51","Pet Sematary: A Novel","REDRUM","I ain't no porn writer","198211598X","R26WXX1W04HDUJ","1554886569","Jack gets a job running a hotel resort up in Colorado. It's a lonely, isolated, rocky, snowy place, especially in the off-season, and he moves in with his wife Wendy and little son Danny. But soon it seems there's something not quite right about this place. There's something very evil inside, and it takes possession of Jack's mind and personality. Can the spell be broken? Can the family break away and escape the sinister resort and its hold on them, or will it destroy them in the end?David Rehakauthor of ""Love and Madness""",5
"53","Cemetery Road: A Novel","Disappointing Read","easy listener","0062824619","R325H6YFKXD7DN","1554886686","Like many other reviewers, I was very much looking forward to this new novel. I absolutely loved the Penn Cage series and was hoping Cemetery Road would be as riveting and well written. I’m sorry to say that isn’t the case here. This novel is lacking in intensity, detail, plausibility of plot and character development. The plot isn’t propelled forward by action as much as it is by a story line that is repetitious and predictable. The novels in the Penn Cage series really set the bar high and sadly this book just pales by comparison. I know some people were put off by the political references in the book but even those felt gratuitous and nonessential to the plot. All in all, Cemetery Road was a disappointing read.",3
"54","A Gentleman in Moscow: A Novel","Languishing Elegance","Motherrocks","0143110438","R139F4SRMEM978","1554886697","Reading this book is like sipping a wine far beyond your pay grade, but for the grace of a long sequence of connected dots, the opportunity arises and you relish in it. That such a piece of literature is freshly written refreshes the soul, in an era when the world seems to have lost reason and footing. This book is not for the hurrying reader, who must see through its pages a rushing river of excitement! It is slow and exquisitely building, worth every minute of attentive investment. A standing ovation!!",5
"55","Pet Sematary: A Novel","Great Read","Patricia L Thompson","198211598X","R31TPZENRE42M1","1554886712","No matter how many times you read the Shining you always get a surprise.  Anything by Stephen King is worth a revisit.",5
"60","Cemetery Road: A Novel","Quick delivery!!","Michele C.","0062824619","RHMVWWVUCF8RL","1554887106","Can't wait to read this book from my fav author!! So excited!",5
"61","Cemetery Road: A Novel","Iles phoned it in","Atty","0062824619","R3NT7O9WGUJX3W","1554887226","Terrible job; did he phone it in?  I will be real careful before buying another of his books. Stupid story with stupid people in it. No one to like. Revolves around bad guys closing down the newspaper and apparently they did that by just owning the promissory note from the newspaper and walking over to the newspaper office. Geez, Greg, ask a lawyer how easy that would be.",1
"62","A Gentleman in Moscow: A Novel","Such a good book. It is not a thriller","SLG","0143110438","R16HYJLGX634Q0","1554887357","Such a good book.  It is not a thriller, who done it, or modern novel.  It is a beautifully written story about a gentleman who finds himself in Russia at a very turbulent and strange time -- the end of the Tzar and the beginning of communism.  He is a prisoner of the new regime and his ""cell"" is a magnificent hotel across from the Kremlin.  Sorry when I was finished with the book -- the ""old friend"" syndrome.  I will miss the Count.",5
"63","Whose Toes Are Those?","Five Stars","misslady","031645432X","RESBL085NG577","1554887548","Cute and short",5
"64","Becoming Supernatural: How Common People…","This might very well be the book of the century, my century for sure!","Charles E. Gray","1401953115","R1WVMFAB78Q1GI","1554887724","I can't get enough of Dr. Joe!  On my second reading now, along with a course of his as well, and am finding daily challenges in my 75 year old body memory but have learned with Dr. Joe there's an ""out"" from the past and I can live in the future now ... it's so exciting!  Thank You Dr. Joe for your tireless efforts in bringing new thinking into old bodies!  All six of my children received ""Becoming Supernatural"" for Christmas!",5
"67","Cemetery Road: A Novel","Another fantastic read from one of my all time favorite authors","Jt","0062824619","R3FUJYEXMG1O9","1554887946","As with anytime I see Greg Iles has a forthcoming title, I preordered on the spot. This is another fantastic, gripping read, as he consistently delivers, and has for several decades. I think those complaining about perceived political biases haven’t been reading his prior books with much comprehension, especially the last trilogy. His books and characters are written with compassion, intelligence, and humanness above all else and complaining about small things is to miss the point and lessen the experience. It’s also very discourteous to Iles, after all that he’s been through and that he still writes books for us to enjoy. And as much as I’d also like another Penn Cage book, I’m not sure I’m emotionally equipped to read one without a few new titles in between... still reeling from the second title in the trilogy, as anyone who’s read it can empthaize with.I found the way Iles brought in a new setting but played with many themes and similarities from his previous titles refreshing and clever. Iles is an amazing writer and I’m thankful for all the books he’s given us and grateful for a new one.",5
"68","The Woman in the Window: A Novel","contrived","Ann W. Burrus","62678426","R1BWKVZNFO766N","1554887956","I knew the husband and daughter were dead just a few pages in.  which sort of spoiled things.  also a bit overwritten.",1
"69","Pet Sematary: A Novel","Amazing.","ZzAzZ","198211598X","R3CWKW6TSGMNIR","1554888026","My only other Stephen King experience was Under the Dome, the audio book and I only got half through it. I am glad I gave it another shot, this is one of the best books I've read.",5
"73","Pet Sematary: A Novel","way better than movie","rickv","198211598X","R41HB0PZ6M0X8","1554888362","As most books are, way better than movie!",5
"74","A Gentleman in Moscow: A Novel","and of the 6 of us 2 loved it and the rest of us including me did ...","Jan Smith","0143110438","R25ER7LXR5JK4S","1554888437","My book club read this book, and of the 6 of us 2 loved it and the rest of us including me did not. While we found the characters interesting, there didn't seem to be a plot. Count Rostov is a fascinating although improbable character. He's a true gentleman, brilliant, charming, and so knowledgeable in so many fields that he's also a bit unbelievable. The book covers over 30 years of his life. He forms an improbable but delightful relationship with a little girl named Nina who shows him more about the hotel he lives in than he ever knew. Then later Nina drops her daughter Sophia (another little girl) off to stay with him supposedly for only a month. I don't want to give anything away, so I'm not going to tell the story. But the bottom line is that while there is a lot of interesting stuff in this book, I kept wondering what it was all about because there was no goal, no antagonist, no dilemma, no discernible plot. In conclusion it's all about interesting people, places, and politics. On a positive note, the ending was a big surprise!",3
